date,1M,2M,3M,6M,1Y,2Y,3Y,5Y,7Y,10Y,20Y,30Y
01/04/21,0.09,0.09,0.09,0.09,0.10,0.11,0.16,0.36,0.64,0.93,1.46,1.66
01/05/21,0.08,0.09,0.09,0.09,0.10,0.13,0.17,0.38,0.66,0.96,1.49,1.70
01/06/21,0.09,0.09,0.09,0.09,0.11,0.14,0.20,0.43,0.74,1.04,1.60,1.81
01/07/21,0.09,0.09,0.09,0.09,0.11,0.14,0.22,0.46,0.78,1.08,1.64,1.85
01/08/21,0.08,0.08,0.08,0.09,0.10,0.14,0.24,0.49,0.81,1.13,1.67,1.87
01/11/21,0.09,0.08,0.08,0.10,0.10,0.14,0.22,0.50,0.84,1.15,1.68,1.88
01/12/21,0.09,0.08,0.09,0.09,0.11,0.14,0.23,0.50,0.83,1.15,1.68,1.88
01/13/21,0.09,0.08,0.09,0.10,0.12,0.14,0.22,0.48,0.80,1.10,1.63,1.82
01/14/21,0.09,0.09,0.09,0.09,0.10,0.16,0.23,0.49,0.82,1.15,1.69,1.88
01/15/21,0.08,0.09,0.09,0.10,0.10,0.13,0.20,0.46,0.78,1.11,1.66,1.85
01/19/21,0.07,0.09,0.09,0.11,0.10,0.14,0.21,0.45,0.78,1.10,1.65,1.84
01/20/21,0.08,0.08,0.08,0.10,0.10,0.13,0.19,0.45,0.78,1.10,1.65,1.84
01/21/21,0.07,0.09,0.09,0.09,0.10,0.13,0.19,0.45,0.79,1.12,1.68,1.87
01/22/21,0.07,0.08,0.08,0.10,0.10,0.13,0.19,0.44,0.77,1.10,1.66,1.85
01/25/21,0.07,0.08,0.09,0.09,0.10,0.13,0.17,0.42,0.73,1.05,1.61,1.80
01/26/21,0.05,0.07,0.07,0.09,0.09,0.11,0.18,0.42,0.74,1.05,1.61,1.80
01/27/21,0.05,0.06,0.08,0.09,0.09,0.12,0.18,0.41,0.72,1.04,1.60,1.79
01/28/21,0.05,0.06,0.07,0.08,0.08,0.12,0.18,0.42,0.75,1.07,1.63,1.81
01/29/21,0.07,0.07,0.06,0.07,0.10,0.11,0.19,0.45,0.79,1.11,1.68,1.87
02/01/21,0.06,0.07,0.07,0.08,0.08,0.11,0.17,0.42,0.76,1.09,1.66,1.84
02/02/21,0.04,0.05,0.07,0.08,0.08,0.11,0.18,0.45,0.79,1.12,1.69,1.87
02/03/21,0.03,0.04,0.04,0.06,0.08,0.11,0.19,0.46,0.81,1.15,1.73,1.92
02/04/21,0.03,0.04,0.04,0.06,0.07,0.11,0.18,0.46,0.81,1.15,1.75,1.93
02/05/21,0.02,0.03,0.03,0.05,0.06,0.09,0.19,0.47,0.83,1.19,1.79,1.97
02/08/21,0.04,0.03,0.05,0.05,0.07,0.11,0.20,0.48,0.83,1.19,1.78,1.96
02/09/21,0.04,0.04,0.04,0.06,0.07,0.11,0.19,0.48,0.83,1.18,1.78,1.95
