,,daily,daily,daily,daily,monthly,monthly,monthly,monthly,annual,annual,annual,annual
,,value,std_error,t_value,p_value,value,std_error,t_value,p_value,value,std_error,t_value,p_value
name,feature,,,,,,,,,,,,
XLY,const,-4.6325592108155855e-05,0.00013825504330541188,-0.33507343385528765,0.7376046393824276,-0.0012074175841838928,0.002171486832070064,-0.556032652996965,0.5795383546864065,-0.027166263551917588,0.036395433745306176,-0.7464195575199362,0.49689487089549933
XLY,mkt-rf,0.961431271710505,0.01160110323312453,82.87412433029115,0.0,0.9767736575902884,0.05649650430866715,17.28909902555584,1.1865348927123721e-30,0.962744314323788,0.20630792044678894,4.6665407330888184,0.009542889423918911
XLY,smb,0.19723945888246236,0.0229522613288166,8.593465195293325,1.665195158918723e-17,0.3469339017364409,0.10683166474682144,3.2474819386053158,0.0016255280367723389,1.0521208047844088,0.5451826630152403,1.929850078073736,0.12583709116283565
XLY,hml,0.09866404587075889,0.021225706150812776,4.648328077743639,3.563536844755499e-06,0.20896166606627797,0.08606626148502158,2.427916148102289,0.017131829029044768,0.026182123360268372,0.3592710848526529,0.07287567651320002,0.9454036323067752
XLY,R_squared,0.8351204840645812,,,,0.8591824729763143,,,,0.9062223169051796,,,
XLP,const,7.03316474463683e-05,0.00011763470629359894,0.5978817787909534,0.5499861400320893,0.0019023339942256727,0.0018951973933312586,1.003765624055587,0.31812439468882586,0.018873031249035152,0.01751078826310838,1.0777944981949634,0.3417864516996256
XLP,mkt-rf,0.5578480152143968,0.009870832476582105,56.51478905531567,0.0,0.6229955355266313,0.049308163474352344,12.634734121677086,8.198135439594853e-22,0.4871053254636665,0.09926009777014513,4.90736294247511,0.008001570715608393
XLP,smb,-0.09767222263839556,0.019528998404961483,-5.001394368160797,6.18572366363346e-07,-0.3306304173663368,0.09323892254985694,-3.5460557492987044,0.0006173104096714753,-0.2730218518779922,0.26230153605488055,-1.0408701984149598,0.35671089714029874
XLP,hml,-0.11566736349120424,0.018059953902798125,-6.4046322661589565,1.8714208895526297e-10,-0.005938164463955224,0.07511560835240491,-0.07905366932657089,0.9371616313458668,-0.18681765469339212,0.17285464819397572,-1.080778889346078,0.3406049870282088
XLP,R_squared,0.65593221545614,,,,0.6706864851638525,,,,0.8745214279357764,,,
XLE,const,0.0003878892523031372,0.00026724592621719354,1.4514318620067403,0.1468156180724572,0.0071473323787678315,0.0051431803223329,1.389671746046397,0.16798239280727387,0.11318354039091802,0.06405404970101468,1.7670005396883608,0.15197034915818106
XLE,mkt-rf,1.3328164815074166,0.02242484255586127,59.43482002994278,0.0,1.140377028567319,0.1338123284698589,8.522211978578548,2.923830589259381e-13,1.1830243239900486,0.36309109220922225,3.2582025540531854,0.031133583813888005
XLE,smb,-0.3542867290632861,0.04436654309997644,-7.985448139714863,2.33293570193352e-15,-0.0770249449524098,0.25303147493836103,-0.3044085522213125,0.7615041525288786,-1.2978797523301377,0.959492820920521,-1.3526727079468652,0.24756806399736925
XLE,hml,-0.3815666294281639,0.041029125334380454,-9.299896751842994,3.545362772942356e-20,-0.36894701722584805,0.20384848572373865,-1.809908059488142,0.0735751656814148,0.28024972270162596,0.6322982186812705,0.4432239636640421,0.6805202632503183
XLE,R_squared,0.6691411641551543,,,,0.49636098988137634,,,,0.7264274806935722,,,
