DATE,T5YIE
2011-07-05,2.03
2011-07-06,2.03
2011-07-07,2.10
2011-07-08,2.01
2011-07-11,2.01
2011-07-12,2.01
2011-07-13,1.99
2011-07-14,1.98
2011-07-15,1.98
2011-07-18,2.00
2011-07-19,2.02
2011-07-20,2.01
2011-07-21,2.04
2011-07-22,2.03
2011-07-25,2.06
2011-07-26,2.01
2011-07-27,2.10
2011-07-28,2.11
2011-07-29,2.07
2011-08-01,2.07
2011-08-02,1.99
2011-08-03,1.87
2011-08-04,1.79
2011-08-05,1.82
2011-08-08,1.74
2011-08-09,1.75
2011-08-10,1.95
2011-08-11,1.86
2011-08-12,1.84
2011-08-15,1.80
2011-08-16,1.74
2011-08-17,1.73
2011-08-18,1.62
2011-08-19,1.70
2011-08-22,1.73
2011-08-23,1.66
2011-08-24,1.65
2011-08-25,1.68
2011-08-26,1.64
2011-08-29,1.67
2011-08-30,1.67
2011-08-31,1.72
2011-09-01,1.72
2011-09-02,1.72
2011-09-05,.
2011-09-06,1.63
2011-09-07,1.67
2011-09-08,1.73
2011-09-09,1.65
2011-09-12,1.63
2011-09-13,1.61
2011-09-14,1.58
2011-09-15,1.73
2011-09-16,1.69
2011-09-19,1.61
2011-09-20,1.67
2011-09-21,1.66
2011-09-22,1.49
2011-09-23,1.48
2011-09-26,1.48
2011-09-27,1.57
2011-09-28,1.57
2011-09-29,1.54
2011-09-30,1.50
2011-10-03,1.48
2011-10-04,1.49
2011-10-05,1.50
2011-10-06,1.58
2011-10-07,1.63
2011-10-10,.
2011-10-11,1.65
2011-10-12,1.67
2011-10-13,1.61
2011-10-14,1.66
2011-10-17,1.66
2011-10-18,1.72
2011-10-19,1.71
2011-10-20,1.72
2011-10-21,1.74
2011-10-24,1.76
2011-10-25,1.76
2011-10-26,1.83
2011-10-27,1.94
2011-10-28,1.93
2011-10-31,1.88
2011-11-01,1.82
2011-11-02,1.91
2011-11-03,1.91
2011-11-04,1.93
2011-11-07,1.94
2011-11-08,1.89
2011-11-09,1.87
2011-11-10,1.88
2011-11-11,.
2011-11-14,1.84
2011-11-15,1.76
2011-11-16,1.68
2011-11-17,1.59
2011-11-18,1.64
2011-11-21,1.59
2011-11-22,1.60
2011-11-23,1.61
2011-11-24,.
2011-11-25,1.64
2011-11-28,1.66
2011-11-29,1.70
2011-11-30,1.76
2011-12-01,1.76
2011-12-02,1.76
2011-12-05,1.77
2011-12-06,1.83
2011-12-07,1.71
2011-12-08,1.65
2011-12-09,1.64
2011-12-12,1.64
2011-12-13,1.65
2011-12-14,1.60
2011-12-15,1.61
2011-12-16,1.58
2011-12-19,1.64
2011-12-20,1.72
2011-12-21,1.70
2011-12-22,1.64
2011-12-23,1.68
2011-12-26,.
2011-12-27,1.65
2011-12-28,1.63
2011-12-29,1.61
2011-12-30,1.59
2012-01-02,.
2012-01-03,1.66
2012-01-04,1.71
2012-01-05,1.74
2012-01-06,1.71
2012-01-09,1.73
2012-01-10,1.70
2012-01-11,1.67
2012-01-12,1.69
2012-01-13,1.69
2012-01-16,.
2012-01-17,1.70
2012-01-18,1.73
2012-01-19,1.75
2012-01-20,1.76
2012-01-23,1.77
2012-01-24,1.81
2012-01-25,1.83
2012-01-26,1.86
2012-01-27,1.88
2012-01-30,1.87
2012-01-31,1.88
2012-02-01,1.89
2012-02-02,1.89
2012-02-03,1.88
2012-02-06,1.91
2012-02-07,1.95
2012-02-08,1.91
2012-02-09,1.91
2012-02-10,1.88
2012-02-13,1.97
2012-02-14,1.92
2012-02-15,1.90
2012-02-16,1.93
2012-02-17,1.93
2012-02-20,.
2012-02-21,1.98
2012-02-22,1.99
2012-02-23,2.04
2012-02-24,2.03
2012-02-27,2.02
2012-02-28,1.99
2012-02-29,1.99
2012-03-01,1.99
2012-03-02,1.95
2012-03-05,1.94
2012-03-06,1.92
2012-03-07,1.98
2012-03-08,2.01
2012-03-09,2.07
2012-03-12,2.06
2012-03-13,2.13
2012-03-14,2.15
2012-03-15,2.13
2012-03-16,2.12
2012-03-19,2.13
2012-03-20,2.15
2012-03-21,2.11
2012-03-22,2.06
2012-03-23,2.04
2012-03-26,2.02
2012-03-27,2.01
2012-03-28,2.03
2012-03-29,1.99
2012-03-30,2.02
2012-04-02,2.04
2012-04-03,2.04
2012-04-04,1.96
2012-04-05,1.95
2012-04-06,1.85
2012-04-09,1.84
2012-04-10,1.87
2012-04-11,1.95
2012-04-12,1.91
2012-04-13,1.91
2012-04-16,1.89
2012-04-17,1.91
2012-04-18,1.87
2012-04-19,1.91
2012-04-20,1.96
2012-04-23,1.95
2012-04-24,2.01
2012-04-25,2.02
2012-04-26,2.04
2012-04-27,2.06
2012-04-30,2.06
2012-05-01,2.06
2012-05-02,2.04
2012-05-03,2.01
