siren,year,company,totalassets,marketable_sec,cash,totaldebt,inventory,creditors,tradedebts,taxes,otherdebts,netincome,netsales
300155207,2014,LES MAGNOLIAS,2854.0,853.0,49.0,1162.0,0.0,19.0,53.0,17.0,0.0,55.0,178.0
300155207,2015,LES MAGNOLIAS,2719.0,848.0,22.0,1009.0,0.0,8.0,50.0,19.0,0.0,65.0,183.0
300155207,2016,LES MAGNOLIAS,2566.0,855.0,9.0,866.0,0.0,11.0,40.0,20.0,0.0,55.0,181.0
300155207,2017,LES MAGNOLIAS,2537.0,728.0,26.0,756.0,0.0,13.0,28.0,42.0,0.0,109.0,157.0
300155207,2018,LES MAGNOLIAS,2336.0,639.0,24.0,584.0,0.0,19.0,32.0,17.0,0.0,41.0,141.0
300188778,2014,SONEPAR SUD OUEST,111792.0,0.0,23393.0,75548.0,38823.0,34002.0,7361.0,8788.0,5054.0,1315.0,167487.0
300188778,2015,SONEPAR SUD OUEST,120680.0,0.0,30665.0,88452.0,40365.0,38386.0,22292.0,6596.0,25047.0,-3157.0,193215.0
300188778,2016,SONEPAR SUD OUEST,131307.0,0.0,29482.0,96817.0,36955.0,47363.0,30441.0,6688.0,26648.0,1287.0,200497.0
300188778,2017,SONEPAR SUD OUEST,139748.0,0.0,36262.0,102302.0,38515.0,45811.0,26639.0,6992.0,29095.0,4053.0,212392.0
300670999,2014,BUREAU D'ETUDES VIAM ACOUSTIQUE,117.0,50.0,5.0,22.0,0.0,8.0,52.0,13.0,0.0,0.0,190.0
300702396,2014,MAISON LACOSTE,516.0,0.0,44.0,363.0,14.0,266.0,346.0,61.0,17.0,91.0,2841.0
300702396,2015,MAISON LACOSTE,617.0,0.0,93.0,433.0,15.0,341.0,400.0,78.0,0.0,80.0,3140.0
300702396,2016,MAISON LACOSTE,632.0,0.0,60.0,460.0,15.0,284.0,342.0,80.0,0.0,40.0,3225.0
300725421,2018,LABORATOIRE OENOLOGIQUE JOUAN CREBASSA,198.0,2.0,6.0,137.0,3.0,17.0,110.0,30.0,0.0,-27.0,293.0
300850179,2014,GARAGE MILLOT,235.0,0.0,105.0,135.0,43.0,46.0,25.0,26.0,4.0,14.0,413.0
