DATE,IR3TIB01FRM156N
2018-01-01,-0.3285
2018-02-01,-0.3285
2018-03-01,-0.3279
2018-04-01,-0.3285
2018-05-01,-0.3252
2018-06-01,-0.322
2018-07-01,-0.3207
2018-08-01,-0.319
2018-09-01,-0.3188
2018-10-01,-0.3177
2018-11-01,-0.3164
2018-12-01,-0.3119
2019-01-01,-0.308
2019-02-01,-0.3084
2019-03-01,-0.3092
2019-04-01,-0.3105
2019-05-01,-0.3119
2019-06-01,-0.3289
2019-07-01,-0.3649
2019-08-01,-0.4077
2019-09-01,-0.4176
2019-10-01,-0.4129
2019-11-01,-0.4013
2019-12-01,-0.3947
2020-01-01,-0.3911
2020-02-01,-0.4088
2020-03-01,-0.4166
2020-04-01,-0.254
2020-05-01,-0.272
2020-06-01,-0.376
2020-07-01,-0.4441
2020-08-01,-0.4797
2020-09-01,-0.4914
2020-10-01,-0.5091
2020-11-01,-0.5209
2020-12-01,-0.5381
2021-01-01,-0.5472
2021-02-01,-0.5411
2021-03-01,-0.5391
2021-04-01,-0.5382
2021-05-01,-0.5401
2021-06-01,-0.5429
2021-07-01,-0.5448
2021-08-01,-0.5476
2021-09-01,-0.545
2021-10-01,-0.5498
