date,AAR,AAR t-value,AAR p-value,CAAR,CAAR t-value,CAAR p-value
2020-03-02,-0.0169,-3.9577,0.0002,-0.0169,-0.7108,0.4791
2020-03-03,-0.0126,-2.9566,0.004,-0.0295,-1.2418,0.2176
2020-03-04,-0.0135,-3.1672,0.0021,-0.0431,-1.8107,0.0736
2020-03-05,-0.0221,-5.1737,0.0,-0.0652,-2.7399,0.0074
2020-03-06,-0.005,-1.1674,0.2462,-0.0702,-2.9496,0.0041
2020-03-09,-0.0504,-11.7901,0.0,-0.1206,-5.0672,0.0
2020-03-10,0.0287,6.7185,0.0,-0.0919,-3.8605,0.0002
2020-03-11,0.0091,2.1249,0.0364,-0.0828,-3.4788,0.0008
2020-03-12,-0.0298,-6.9625,0.0,-0.1125,-4.7293,0.0
2020-03-13,0.0259,6.0633,0.0,-0.0866,-3.6403,0.0005
2020-03-16,-0.0651,-15.2241,0.0,-0.1517,-6.3747,0.0
2020-03-17,-0.0071,-1.6531,0.1018,-0.1587,-6.6716,0.0
2020-03-18,-0.0088,-2.0626,0.0421,-0.1676,-7.042,0.0
2020-03-19,-0.0154,-3.6005,0.0005,-0.1829,-7.6887,0.0
2020-03-20,0.0198,4.6383,0.0,-0.1631,-6.8557,0.0
2020-03-23,-0.0131,-3.0722,0.0028,-0.1763,-7.4074,0.0
2020-03-24,0.042,9.8202,0.0,-0.1343,-5.6437,0.0
2020-03-25,0.062,14.5021,0.0,-0.0723,-3.039,0.0031
2020-03-26,-0.0062,-1.4488,0.1509,-0.0785,-3.2992,0.0014
2020-03-27,-0.0157,-3.6621,0.0004,-0.0942,-3.957,0.0002
2020-03-30,-0.0596,-13.9528,0.0,-0.1538,-6.463,0.0
2020-03-31,-0.001,-0.2415,0.8097,-0.1548,-6.5063,0.0
2020-04-01,-0.0208,-4.8558,0.0,-0.1756,-7.3785,0.0
