,prod_asin,prod_condition,prod_price,seller_index,seller_name,seller_rating,seller_n_reviews
0,B01D8KOZF4,New,36.0,0.0,Amazon.com,96.0,13630.0
1,B01D8KOZF4,New,73.0,1.0,OUT-OF-THIS-WORLD-TREASURES-WORLDWIDE SHIPPING,92.0,193.0
2,B01D8KOZF4,Collectible,78.0,2.0,More,92.0,193.0
3,B01EWNUUUA,New,59.0,0.0,Amazon.com,96.0,13630.0
4,B01EWNUUUA,Used,55.0,1.0,Amazon Warehouse,,
5,B01EWNUUUA,Used,55.0,2.0,Amazon Warehouse,,
6,B01EWNUUUA,Used,56.0,3.0,Amazon Warehouse,,
7,B01EWNUUUA,Used,56.0,4.0,Amazon Warehouse,,
8,B01EWNUUUA,Collectible,119.0,5.0,More,92.0,193.0
9,B008GRTSV6,New,20.0,0.0,Amazon.com,95.0,668.0
10,B008GRTSV6,New,20.0,1.0,kjdElectronics,100.0,2877.0
11,B008GRTSV6,New,21.0,2.0,i Trade,92.0,4767.0
12,B008GRTSV6,New,23.0,3.0,RobotShop Inc.,82.0,545.0
13,B008GRTSV6,New,47.0,4.0,Amazon Global Store UK,,
14,B01EWNUUUA,New,59.0,0.0,Amazon.com,96.0,13630.0
15,B01EWNUUUA,Used,55.0,1.0,Amazon Warehouse,,
16,B01EWNUUUA,Used,55.0,2.0,Amazon Warehouse,,
17,B01EWNUUUA,Used,56.0,3.0,Amazon Warehouse,,
18,B01EWNUUUA,Used,56.0,4.0,Amazon Warehouse,,
19,B01EWNUUUA,Collectible,119.0,5.0,More,92.0,193.0
20,B0713XK923,New,13.0,0.0,Amazon.com,96.0,13630.0
21,B01D8KOZF4,New,36.0,0.0,Amazon.com,96.0,13630.0
22,B01D8KOZF4,New,73.0,1.0,OUT-OF-THIS-WORLD-TREASURES-WORLDWIDE SHIPPING,92.0,193.0
23,B01D8KOZF4,Collectible,78.0,2.0,More,92.0,193.0
24,B01EWOE0UU,New,11.0,0.0,Amazon.com,96.0,13630.0
25,B01EWOE0UU,Used,11.0,1.0,Amazon Warehouse,,
26,B01EWOE0UU,Used,12.0,2.0,Amazon Warehouse,,
27,B009UKZV0A,New,91.0,0.0,Amazon.com,95.0,668.0
28,B009UKZV0A,New,139.0,1.0,CanaKit,98.0,36013.0
29,B009UKZV0A,Used,139.0,2.0,Quest4Texts,75.0,16.0
30,B009UKZV0A,New,156.0,3.0,GLOBAL AGENCY GP,100.0,4316.0
31,B009UKZV0A,New,156.0,4.0,GLOBAL AGENCY GP,100.0,4316.0
32,B01MG49ZQ5,New,34.0,0.0,Amazon.com,96.0,13630.0
33,B01MG49ZQ5,New,69.0,1.0,OUT-OF-THIS-WORLD-TREASURES-WORLDWIDE SHIPPING,92.0,193.0
34,B074WMHLQ4,New,33.0,0.0,Amazon.com,98.0,328.0
35,B074WMHLQ4,New,38.0,1.0,YDHMY,99.0,69.0
36,B094933X6J,New,16.0,0.0,Amazon.com,,
37,B0046AMGW0,New,30.0,0.0,Amazon.com,95.0,668.0
38,B0046AMGW0,Used,23.0,1.0,More,,
39,B0046AMGW0,Used,23.0,2.0,More,,
40,B0046AMGW0,Used,18.0,3.0,crankybooks4you,100.0,21.0
41,B0046AMGW0,Used,24.0,4.0,More,,
42,B0046AMGW0,Used,28.0,5.0,InfinityProduct,94.0,93.0
43,B0046AMGW0,New,32.0,6.0,kjdElectronics,100.0,2877.0
44,B0046AMGW0,New,34.0,7.0,i Trade,92.0,4767.0
45,B0046AMGW0,Used,29.0,8.0,Lukeselling,,
46,B0046AMGW0,New,37.0,9.0,Jameco Electronics,88.0,3419.0
47,B0046AMGW0,New,40.0,10.0,RobotShop Inc.,82.0,545.0
48,B016D5KOOC,New,10.0,0.0,Amazon.com,,
49,B07DXN9WMS,New,134.0,0.0,Amazon.com,93.0,298.0
50,B00UET6VJ6,New,149.0,0.0,Amazon.com,99.0,7632.0
51,B08Z6Z7Q6K,New,35.0,0.0,Amazon.com,98.0,689.0
52,B007R9TUJE,New,26.0,0.0,Amazon.com,100.0,2877.0
53,B007R9TUJE,New,26.0,1.0,i Trade,92.0,4767.0
54,B007R9TUJE,New,26.0,2.0,i Trade,92.0,4767.0
55,B007R9TUJE,New,20.0,3.0,Jameco Electronics,88.0,3419.0
56,B007R9TUJE,New,41.0,4.0,SEKEGE,90.0,1100.0
57,B007R9TUJE,New,31.0,5.0,Materro LLC,91.0,11588.0
58,B01H4ZDYCE,New,15.0,0.0,Amazon.com,96.0,13630.0
59,B01H4ZDYCE,Used,9.14,1.0,More,,
60,B01H4ZDYCE,New,33.0,2.0,OUT-OF-THIS-WORLD-TREASURES-WORLDWIDE SHIPPING,92.0,193.0
61,B07B7JJQMF,New,209.0,0.0,Amazon.com,88.0,16.0
62,B07G99NNXL,New,14.0,0.0,Amazon.com,92.0,633.0
63,B07G99NNXL,Used,12.0,1.0,Amazon Warehouse,,
64,B07G99NNXL,Used,12.0,2.0,Amazon Warehouse,,
65,B094GW7KY5,New,10.0,0.0,Amazon.com,,
66,B094CS1VBJ,New,64.0,0.0,KAVOO-US,100.0,1.0
